seID,SrcIp,DstIp,SrcPort,DstPort,ulVolume,dlVolume,totalVolume,ulPacket,dlPacket,totalPacket,timestamp
2587,170524674,2170660929,52059,5201,96256,96256,96256,8,7,15,2025-01-19 01:41:34
2587,170524674,2170660929,54571,5201,2516788036,2516788036,2516788036,30067,57826,87893,2025-01-19 01:41:34
2587,170524674,2170660929,52059,5201,96256,96256,96256,8,7,15,2025-01-19 01:41:37
2587,170524674,2170660929,54571,5201,2623728961,2623728961,2623728961,31280,60283,91563,2025-01-19 01:41:37
2587,170524674,2170660929,52059,5201,96256,96256,96256,8,7,15,2025-01-19 01:41:40
2587,170524674,2170660929,54571,5201,2721094386,2721094386,2721094386,32424,62520,94944,2025-01-19 01:41:40
2587,170524674,2170660929,52059,5201,96256,96256,96256,8,7,15,2025-01-19 01:41:43
2587,170524674,2170660929,54571,5201,2795217461,2795217461,2795217461,33316,64223,97539,2025-01-19 01:41:43
2587,170524674,2170660929,52059,5201,96256,96256,96256,8,7,15,2025-01-19 01:41:46
2587,170524674,2170660929,54571,5201,2887838661,2887838661,2887838661,34304,66351,100655,2025-01-19 01:41:46
2587,170524674,2170660929,52059,5201,96256,96256,96256,8,7,15,2025-01-19 01:41:49
2587,170524674,2170660929,54571,5201,2960568936,2960568936,2960568936,35191,68022,103213,2025-01-19 01:41:49
2587,170524674,2170660929,52059,5201,96256,96256,96256,8,7,15,2025-01-19 01:41:52
2587,170524674,2170660929,54571,5201,3042657086,3042657086,3042657086,36142,69908,106050,2025-01-19 01:41:52
2587,170524674,2170660929,52059,5201,96256,96256,96256,8,7,15,2025-01-19 01:41:55
2587,170524674,2170660929,54571,5201,3120262161,3120262161,3120262161,37051,71691,108742,2025-01-19 01:41:55
2587,170524674,2170660929,52059,5201,96256,96256,96256,8,7,15,2025-01-19 01:41:58
2587,170524674,2170660929,54571,5201,3234645861,3234645861,3234645861,38377,74319,112696,2025-01-19 01:41:58
